t, X_wave
 0.045750, -0.012695
 0.045875, 0.000793
 0.046000, 0.013733
 0.046125, 0.020996
 0.046250, 0.036011
 0.046375, 0.011200
 0.046500, -0.002472
 0.046625, -0.038116
 0.046750, -0.056824
 0.046875, -0.067017
 0.047000, -0.078552
 0.047125, -0.058167
 0.047250, -0.059479
 0.047375, -0.049866
 0.047500, -0.010437
 0.047625, -0.072021
 0.047750, -0.159729
 0.047875, -0.188995
 0.048000, -0.315491
 0.048125, -0.264099
 0.048250, -0.174683
 0.048375, -0.097351
 0.048500, 0.124390
 0.048625, 0.192078
 0.048750, 0.225372
 0.048875, 0.234650
 0.049000, 0.080444
 0.049125, -0.003479
 0.049250, -0.078949
 0.049375, -0.141449
 0.049500, -0.088501
 0.049625, -0.040039
 0.049750, 0.012360
 0.049875, 0.055969
 0.050000, 0.061401
 0.050125, 0.043488
 0.050250, 0.033630
 0.050375, 0.039825
 0.050500, 0.045349
 0.050625, 0.087219
 0.050750, 0.087921
 0.050875, 0.044373
 0.051000, 0.024780
 0.051125, -0.045685
 0.051250, -0.058777
 0.051375, -0.019318
 0.051500, 0.015686
 0.051625, 0.110291
 0.051750, 0.163361
 0.051875, 0.168732
 0.052000, 0.159546
 0.052125, 0.087616
 0.052250, 0.027374
 0.052375, -0.007996
 0.052500, -0.029541
 0.052625, -0.013580
 0.052750, 0.004395
 0.052875, 0.018616
 0.053000, 0.018982
 0.053125, 0.012268
 0.053250, -0.000183
 0.053375, -0.006989
 0.053500, 0.007294
 0.053625, 0.011414
 0.053750, 0.025909
 0.053875, 0.023895
 0.054000, 0.004395
 0.054125, -0.012817
 0.054250, -0.046753
 0.054375, -0.058044
 0.054500, -0.076538
 0.054625, -0.078156
 0.054750, -0.060333
 0.054875, -0.062683
 0.055000, -0.030670
 0.055125, -0.013245
 0.055250, -0.141693
 0.055375, -0.177521
 0.055500, -0.272614
 0.055625, -0.353241
 0.055750, -0.218048
 0.055875, -0.173248
 0.056000, 0.017456
 0.056125, 0.208160
 0.056250, 0.219330
 0.056375, 0.279083
 0.056500, 0.180481
 0.056625, 0.023804
 0.056750, -0.038147
 0.056875, -0.136078
 0.057000, -0.134247
 0.057125, -0.066193
 0.057250, -0.019379
 0.057375, 0.034454
 0.057500, 0.057526
 0.057625, 0.048401
 0.057750, 0.026886
 0.057875, 0.034546
 0.058000, 0.044281
 0.058125, 0.070221
 0.058250, 0.120148
 0.058375, 0.078461
 0.058500, 0.039307
 0.058625, -0.005219
 0.058750, -0.092224
 0.058875, -0.056885
 0.059000, -0.023468
 0.059125, 0.044250
 0.059250, 0.159485
 0.059375, 0.174133
 0.059500, 0.186981
 0.059625, 0.146851
 0.059750, 0.055420
 0.059875, 0.016235
 0.060000, -0.024689
 0.060125, -0.024811
 0.060250, -0.000702
 0.060375, 0.011566
 0.060500, 0.022583
 0.060625, 0.011871
 0.060750, 0.004669
 0.060875, -0.014587
 0.061000, -0.007263
 0.061125, 0.007690
 0.061250, 0.011810
 0.061375, 0.040497
 0.061500, 0.020844
 0.061625, 0.002991
 0.061750, -0.019470
 0.061875, -0.066925
 0.062000, -0.073608
 0.062125, -0.091553
 0.062250, -0.100494
 0.062375, -0.059967
 0.062500, -0.066772
 0.062625, -0.004547
 0.062750, -0.038757
 0.062875, -0.162323
 0.063000, -0.172058
 0.063125, -0.323273
 0.063250, -0.289459
 0.063375, -0.182465
 0.063500, -0.119598
 0.063625, 0.121582
 0.063750, 0.202789
 0.063875, 0.233673
 
